# sc	tc	usage_score	pinyin(optional)
# Project-maintained public and historical people names kept separate from
# everyday/chat phrase seeds and from non-person proper nouns.
# Use explicit pinyin for curated entries to avoid noisy character fallback
# readings on historical names, transliterations, and stage names.
孔子	孔子	0.82	kongzi
孟子	孟子	0.80	mengzi
老子	老子	0.80	laozi
庄子	莊子	0.78	zhuangzi
管仲	管仲	0.74	guanzhong
鲍叔牙	鮑叔牙	0.72	baoshuya
屈原	屈原	0.78	quyuan
司马迁	司馬遷	0.80	simaqian
李白	李白	0.82	libai
杜甫	杜甫	0.82	dufu
白居易	白居易	0.78	baijuyi
苏轼	蘇軾	0.82	sushi
王安石	王安石	0.76	wanganshi
李清照	李清照	0.78	liqingzhao
曹操	曹操	0.80	caocao
刘备	劉備	0.78	liubei
孙权	孫權	0.76	sunquan
诸葛亮	諸葛亮	0.82	zhugeliang
秦始皇	秦始皇	0.82	qinshihuang
汉武帝	漢武帝	0.78	hanwudi
唐太宗	唐太宗	0.78	tangtaizong
武则天	武則天	0.78	wuzetian
朱元璋	朱元璋	0.76	zhuyuanzhang
康熙	康熙	0.76	kangxi
乾隆	乾隆	0.76	qianlong
孙中山	孫中山	0.84	sunzhongshan
蒋介石	蔣介石	0.76	jiangjieshi
常凯申	常凱申	0.62	changkaishen
鲁迅	魯迅	0.84	luxun
钱学森	錢學森	0.80	qianxuesen
邓稼先	鄧稼先	0.78	dengjiaxian
杨振宁	楊振寧	0.76	yangzhenning
屠呦呦	屠呦呦	0.76	tuyouyou
莫言	莫言	0.76	moyan
余华	余華	0.76	yuhua
王小波	王小波	0.76	wangxiaobo
周杰伦	周杰倫	0.82	zhoujielun
成龙	成龍	0.82	chenglong
刘德华	劉德華	0.82	liudehua
周星驰	周星馳	0.80	zhouxingchi
巩俐	鞏俐	0.76	gongli
章子怡	章子怡	0.76	zhangziyi
姚明	姚明	0.82	yaoming
郎平	郎平	0.78	langping
马云	馬雲	0.80	mayun
雷军	雷軍	0.78	leijun
任正非	任正非	0.78	renzhengfei
李子柒	李子柒	0.80	liziqi
李庚希	李庚希	0.74	ligengxi
林一	林一	0.74	linyi
李兰迪	李蘭迪	0.76	lilandi
赵露思	趙露思	0.80	zhaolusi
虞书欣	虞書欣	0.78	yushuxin
田曦薇	田曦薇	0.76	tianxiwei
白鹿	白鹿	0.78	bailu
王鹤棣	王鶴棣	0.80	wanghedi
吴磊	吳磊	0.80	wulei
张凌赫	張凌赫	0.76	zhanglinghe
陈哲远	陳哲遠	0.76	chenzheyuan
丁禹兮	丁禹兮	0.76	dingyuxi
许凯	許凱	0.78	xukai
宋威龙	宋威龍	0.76	songweilong
张新成	張新成	0.76	zhangxincheng
侯明昊	侯明昊	0.76	houminghao
刘宇宁	劉宇寧	0.76	liuyuning
